last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,1538323208,4,0,0,200407872,2560,3,3,0
0,0,0,1538323205,5,0,0,200407872,49152,2,2,1
0,0,0,1538323201,0,0,0,200407872,1024,2,2,1
0,0,0,1538323206,5,0,0,200407872,36864,2,2,1
0,0,0,1538323210,8,0,0,200407872,61440,2,2,0
0,0,0,1538323206,4,0,0,200407872,53248,2,2,1
0,0,0,1538323206,4,0,0,200407872,53248,2,2,1
0,0,0,1538323206,4,0,0,200407872,8192,2,2,1
0,0,0,1538323211,4,0,0,200407872,4096,3,3,0
