time-col,obj-id-col,obj-size-col
0,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
2,0,1
2,2,1
2,4,1
2,6,1
2,8,1
3,1,1
3,3,1
3,5,1
3,7,1
3,9,1
3,0,1
4,2,1
4,4,1
4,6,1
4,8,1
6,10,1
6,10,1
6,0,1
6,2,1
6,4,1
6,6,1
6,8,1
8,11,1
8,11,1
8,0,1
8,2,1
8,4,1
8,6,1
8,8,1
10,12,1
10,12,1
10,0,1
10,2,1
10,4,1
10,6,1
10,8,1
12,13,1
12,13,1
12,0,1
12,2,1
12,4,1
12,6,1
12,8,1
14,14,1
14,14,1
14,0,1
14,2,1
14,4,1
14,6,1
14,8,1
16,15,1
16,15,1
16,0,1
16,2,1
16,4,1
16,6,1
16,8,1
18,16,1
18,16,1
18,0,1
18,2,1
18,4,1
18,6,1
18,8,1
20,17,1
20,17,1
20,0,1
20,2,1
20,4,1
20,6,1
20,8,1
22,18,1
22,18,1
22,0,1
22,2,1
22,4,1
22,6,1
22,8,1
24,19,1
24,19,1
24,0,1
24,2,1
24,4,1
24,6,1
24,8,1
